-----------RECORD 3 STARTS-----------
Total Epochs: 1000, LEARNING RATE: 0.02 , FINAL ACCURACY: 75.31 
Epoch: 825  Accuracy: 70.51
Epoch: 830  Accuracy: 73.54
Epoch: 835  Accuracy: 69.48
Epoch: 840  Accuracy: 75.96
Epoch: 845  Accuracy: 63.18
Epoch: 850  Accuracy: 76.65
Epoch: 855  Accuracy: 74.70
Epoch: 860  Accuracy: 67.88
Epoch: 865  Accuracy: 76.17
Epoch: 870  Accuracy: 74.63
Epoch: 875  Accuracy: 67.92
Epoch: 880  Accuracy: 76.69
Epoch: 885  Accuracy: 59.87
Epoch: 890  Accuracy: 30.14
Epoch: 895  Accuracy: 50.99
Epoch: 900  Accuracy: 74.05
Epoch: 905  Accuracy: 72.54
Epoch: 910  Accuracy: 75.55
Epoch: 915  Accuracy: 79.87
Epoch: 920  Accuracy: 76.45
Epoch: 925  Accuracy: 78.87
Epoch: 930  Accuracy: 77.54
Epoch: 935  Accuracy: 78.16
Epoch: 940  Accuracy: 77.39
Epoch: 945  Accuracy: 80.27
Epoch: 950  Accuracy: 77.89
Epoch: 955  Accuracy: 79.99
Epoch: 960  Accuracy: 55.47
Epoch: 965  Accuracy: 73.72
Epoch: 970  Accuracy: 80.16
Epoch: 975  Accuracy: 78.58
Epoch: 980  Accuracy: 81.44
Epoch: 985  Accuracy: 78.01
Epoch: 990  Accuracy: 82.20
Epoch: 995  Accuracy: 75.31
