-----------RECORD 0 STARTS-----------
Total Epochs: 1000, FINAL ACCURACY: 94.78 
Epoch: 830  Accuracy: 93.35
Epoch: 835  Accuracy: 93.84
Epoch: 840  Accuracy: 94.07
Epoch: 845  Accuracy: 94.20
Epoch: 850  Accuracy: 94.32
Epoch: 855  Accuracy: 94.36
Epoch: 860  Accuracy: 94.45
Epoch: 865  Accuracy: 94.49
Epoch: 870  Accuracy: 94.52
Epoch: 875  Accuracy: 94.60
Epoch: 880  Accuracy: 94.64
Epoch: 885  Accuracy: 94.69
Epoch: 890  Accuracy: 94.73
Epoch: 895  Accuracy: 94.75
Epoch: 900  Accuracy: 94.74
Epoch: 905  Accuracy: 94.77
Epoch: 910  Accuracy: 94.80
Epoch: 915  Accuracy: 94.83
Epoch: 920  Accuracy: 94.83
Epoch: 925  Accuracy: 94.87
Epoch: 930  Accuracy: 94.90
Epoch: 935  Accuracy: 94.94
Epoch: 940  Accuracy: 94.97
Epoch: 945  Accuracy: 95.02
Epoch: 950  Accuracy: 95.00
Epoch: 955  Accuracy: 95.05
Epoch: 960  Accuracy: 95.05
Epoch: 965  Accuracy: 95.06
Epoch: 970  Accuracy: 94.97
Epoch: 975  Accuracy: 95.05
Epoch: 980  Accuracy: 94.98
Epoch: 985  Accuracy: 94.95
Epoch: 990  Accuracy: 94.91
Epoch: 995  Accuracy: 94.78
